Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12

--- Starting Engineered Knowledge Distillation ---
Epoch 14/100 | Batch 400/2366 | Soft KD Loss: 8.2349 | Hard Loss: 1.0395 | Total Loss: 4.6372 | LR: 0.000200
Epoch 14/100 | Batch 600/2366 | Soft KD Loss: 7.8975 | Hard Loss: 1.0511 | Total Loss: 4.4743 | LR: 0.000200
Epoch 14/100 | Batch 800/2366 | Soft KD Loss: 8.2084 | Hard Loss: 0.9798 | Total Loss: 4.5941 | LR: 0.000200
Epoch 14/100 | Batch 1000/2366 | Soft KD Loss: 8.4013 | Hard Loss: 1.0667 | Total Loss: 4.7340 | LR: 0.000200
Epoch 14/100 | Batch 1200/2366 | Soft KD Loss: 8.0727 | Hard Loss: 1.0268 | Total Loss: 4.5498 | LR: 0.000200
Epoch 14/100 | Batch 1400/2366 | Soft KD Loss: 7.9858 | Hard Loss: 1.0436 | Total Loss: 4.5147 | LR: 0.000200
Epoch 14/100 | Batch 1600/2366 | Soft KD Loss: 8.1081 | Hard Loss: 1.0129 | Total Loss: 4.5605 | LR: 0.000200
Epoch 14/100 | Batch 1800/2366 | Soft KD Loss: 8.1689 | Hard Loss: 1.0695 | Total Loss: 4.6192 | LR: 0.000200
Epoch 14/100 | Batch 2000/2366 | Soft KD Loss: 8.0098 | Hard Loss: 1.1032 | Total Loss: 4.5565 | LR: 0.000200
Epoch 14/100 | Batch 2200/2366 | Soft KD Loss: 8.1092 | Hard Loss: 0.9613 | Total Loss: 4.5352 | LR: 0.000200
====> Epoch 14 Average KD Loss: 4.5565 | LR: 0.000200
Epoch 15/100 | Batch 0/2366 | Soft KD Loss: 7.9483 | Hard Loss: 1.0394 | Total Loss: 4.4939 | LR: 0.000200
Epoch 15/100 | Batch 200/2366 | Soft KD Loss: 8.1140 | Hard Loss: 1.0495 | Total Loss: 4.5817 | LR: 0.000200
Epoch 15/100 | Batch 400/2366 | Soft KD Loss: 7.9034 | Hard Loss: 1.1693 | Total Loss: 4.5364 | LR: 0.000200
Epoch 15/100 | Batch 600/2366 | Soft KD Loss: 7.8938 | Hard Loss: 1.1226 | Total Loss: 4.5082 | LR: 0.000200
Epoch 15/100 | Batch 800/2366 | Soft KD Loss: 7.9115 | Hard Loss: 1.0541 | Total Loss: 4.4828 | LR: 0.000200
Epoch 15/100 | Batch 1000/2366 | Soft KD Loss: 8.1791 | Hard Loss: 1.0332 | Total Loss: 4.6062 | LR: 0.000200
Epoch 15/100 | Batch 1200/2366 | Soft KD Loss: 7.9293 | Hard Loss: 1.1157 | Total Loss: 4.5225 | LR: 0.000200
