nohup: ignoring input
Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12
Parallelizing across 4 GPUs!

--- Starting Engineered Knowledge Distillation ---
/home/jay_agarwal_2022/.local/lib/python3.10/site-packages/torch/nn/modules/linear.py:134: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:330.)
  return F.linear(input, self.weight, self.bias)
Epoch 3/100 | Batch 12800/18922 | KD Loss: 5.2455 | Base Loss: 0.7880
Epoch 3/100 | Batch 13000/18922 | KD Loss: 5.3783 | Base Loss: 0.8094
Epoch 3/100 | Batch 13200/18922 | KD Loss: 5.2909 | Base Loss: 0.7623
Epoch 3/100 | Batch 13400/18922 | KD Loss: 5.5938 | Base Loss: 0.9317
Epoch 3/100 | Batch 13600/18922 | KD Loss: 5.1446 | Base Loss: 0.7003
Epoch 3/100 | Batch 13800/18922 | KD Loss: 5.2969 | Base Loss: 0.7153
Epoch 3/100 | Batch 14000/18922 | KD Loss: 4.9726 | Base Loss: 0.7440
Epoch 3/100 | Batch 14200/18922 | KD Loss: 4.9542 | Base Loss: 0.6881
Epoch 3/100 | Batch 14400/18922 | KD Loss: 4.9410 | Base Loss: 0.7256
Epoch 3/100 | Batch 14600/18922 | KD Loss: 5.4215 | Base Loss: 0.7469
